課綱,跨部,跨系,已選,停修與否,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,性質,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,,,V,,4750118,CS501R,ZA115,書報討論,Seminar,一般,資訊碩一,必修,全,1,田筱榮,1-EFG.,電學講,,,,,,資訊系,40,32,0,0,1,國語,4700B,8
◎,V,,,,4754118,CS541R,CS541,量子演算法,Quantum algorithms,一般,資訊碩一,選修,半,3,黃琮暐,2-EFG.,篤信251,,,,,,資訊系,10,5,3,3,9,國語,4700B,5
◎,V,,,,4759018,CS590R,CS524,資訊與系統安全專題,Special Topics on Information & Computer System Security,一般,資訊碩一,選修,半,3,田筱榮,2-EFG.,電學310,,,,,全英語授課,資訊系,10,10,0,0,10,英語,4700B,0
◎,V,,,,4760118,CS601R,CS444,網際網路協定,Internetworking Protocols,一般,資訊碩一,選修,半,3,張蛟川,4-234.,電學101,,,,,"全英語授課,大學部修課屬必選四類之1",資訊系,10,5,3,3,5,英語,4700B,5
◎,V,,,,4761418,CS614R,EE756,資訊與網路安全,Information and Network Security,一般,資訊碩一,選修,半,3,楊明豪,1-567.,電學101,,,,,,資訊系,15,10,3,3,12,國語,4700B,0
◎,V,,,,4761718,CS617R,CS499,網路安全,Network Security,一般,資訊碩一,選修,半,3,張蛟川,2-567.,電學101,,,,,"全英語授課,大學部修課屬必選四類之1",資訊系,10,8,3,3,9,英語,4700B,2
◎,V,V,,,4763118,CS631R,CS509,視訊處理,Video Processing,一般,資訊碩一,選修,半,3,張元翔,3-EFG.,電學213,,,,,,資訊系,15,15,0,0,38,國語,4700B,0
◎,,,,,4765118,CS651R,CS513,社群網路分析,Social Network Analysis,一般,資訊碩一,選修,半,3,賀嘉生,3-EFG.,篤信252,,,,,大學部修課屬必選四類之3,資訊系,40,4,0,0,8,國語,4700B,36
◎,V,,,,4767318,CS673R,ZA273,計算機圖學,Computer Graphics,一般,資訊碩一,選修,半,3,蔡明達,4-678.,電學101,,,,,大學部修課屬必選四類之4,資訊系,10,4,3,3,9,國語,4700B,6
◎,V,,,,4767718,CS677R,CS428,.NET物件導向程式設計,.NET Object-Oriented Programming,一般,資訊碩一,選修,半,3,留忠賢,6-78C.,篤信251,,,,,,資訊系,5,5,0,0,6,國語,4700B,10
◎,V,,,,4767818,CS678R,BA454,網際網路,Internet,一般,資訊碩一,選修,半,3,楊明豪,1-234.,篤信251,,,,,,資訊系,15,13,3,3,13,國語,4700B,2
◎,V,,,,4768018,CS680R,CS451,大數據實務技術,Big Data Practical Techniques,一般,資訊碩一,選修,半,3,賀嘉生,4-EFG.,篤信252,,,,,,資訊系,10,10,3,3,9,國語,4700B,0
◎,V,V,,,4768118,CS681R,CS452,大數據智慧技術,Big Data Intelligent Techniques,一般,資訊碩一,選修,半,3,賀嘉生,2-EFG.,篤信252,,,,,大學部修課屬必選四類之3,資訊系,40,25,0,0,28,國語,4700B,15
◎,V,,,,4768318,CS683R,CS420,雲端系統實務與開發,Practical Cloud Systems,一般,資訊碩一,選修,半,3,鍾武君,1-567.,電學310,,,,,大學部修課屬必選四類之1、3,資訊系,10,10,3,3,21,國語,4700B,0
◎,V,,,,4768618,CS686R,CS453,大數據基礎與實務應用,Big Data Fundamentals and Application,一般,資訊碩一,選修,半,3,鄭憲永,5-234.,教學510,,,,,大學部修課屬必選四類之3、4,資訊系,20,8,3,3,5,國語,4700B,12
◎,V,,,,4768718,CS687R,CS478,進階數位系統設計,Advanced Digital System Design,一般,資訊碩一,選修,半,3,湯松年,4-DEF.,篤信253,,,,,,資訊系,10,10,0,0,14,國語,4700B,0
◎,V,,,,4769618,CS696R,CS480,深度學習,Deep Learning,一般,資訊碩一,選修,半,3,朱守禮,2-78C.,篤信253,,,,,,資訊系,15,15,0,0,33,國語,4700B,0
◎,,,V,,4750144,CS501r,ZA115,書報討論,Seminar,一般,資訊碩專一,必修,全,1,田筱榮,1-EFG.,電學講,,,,,,資訊系,10,8,2,2,0,國語,4700B,2
◎,,V,,,4763144,CS631r,CS509,視訊處理,Video Processing,一般,資訊碩專一,選修,半,3,張元翔,3-EFG.,電學213,,,,,,資訊系,5,4,3,3,3,國語,4700B,1
◎,,V,,,4765144,CS651r,CS513,社群網路分析,Social Network Analysis,一般,資訊碩專一,選修,半,3,賀嘉生,3-EFG.,篤信252,,,,,大學部修課屬必選四類之3,資訊系,15,0,3,3,0,國語,4700B,15
◎,,,,,4767744,CS677r,CS428,.NET物件導向程式設計,.NET Object-Oriented Programming,一般,資訊碩專一,選修,半,3,留忠賢,6-78C.,篤信251,,,,,,資訊系,5,0,3,3,1,國語,4700B,5
◎,,V,,,4768144,CS681r,CS452,大數據智慧技術,Big Data Intelligent Techniques,一般,資訊碩專一,選修,半,3,賀嘉生,2-EFG.,篤信252,,,,,大學部修課屬必選四類之3,資訊系,15,0,3,3,0,國語,4700B,15
◎,,,V,,4700801,CS008A,MA060,微積分(下),Calculus (II),一般,資訊一甲,必修,半,3,汪漢鈞,1-56.,懷恩204,4-2.,懷恩201,,,,資訊系,80,65,3,3,12,國語,4700B,5
◎,,,V,,4701401,CS014A,CS112,嵌入式系統實驗(二),,一般,資訊一甲,必修,全,1,吳宜鴻,3-12.,電學講,,,,,非本系學生須自備實驗材料,資訊系,70,62,1,0.5,11,國語,4700B,3
◎,,,V,,4701401,CS014A,CS112,嵌入式系統實驗(二),,一般,資訊一甲,必修,全,1,余執彰,3-12.,電學講,,,,,非本系學生須自備實驗材料,資訊系,70,62,1,0.5,11,國語,4700B,3
